Kruskal;10;9;0.10762
Kruskal;11;10;0.11993
Kruskal;12;11;0.16574
Kruskal;13;12;0.19573
Kruskal;14;13;0.23199
Kruskal;15;14;0.22381
Kruskal;16;15;0.30608
Kruskal;17;16;0.35006
Kruskal;18;17;0.37642
Kruskal;19;18;0.42785
Kruskal;20;19;0.49351
Kruskal;21;20;0.53522
Kruskal;22;21;0.58104
Kruskal;23;22;0.64918
Kruskal;24;23;0.69903
Kruskal;25;24;0.7796
Kruskal;26;25;0.90047
Kruskal;27;26;0.87937
Kruskal;28;27;0.82922
Kruskal;29;28;0.99767
Kruskal;30;29;1.10485
Kruskal;31;30;1.16399
Kruskal;32;31;1.21162
Kruskal;33;32;1.28855
Kruskal;34;33;1.4233
Kruskal;35;34;1.42305
Kruskal;36;35;1.59023
Kruskal;37;36;1.58537
Kruskal;38;37;1.69403
Kruskal;39;38;1.71794
Kruskal;3;2;0.00991
Kruskal;40;39;2.00581
Kruskal;41;40;2.01237
Kruskal;42;41;2.10794
Kruskal;43;42;2.16875
Kruskal;44;43;2.49815
Kruskal;45;44;2.29385
Kruskal;46;45;2.60466
Kruskal;47;46;2.59641
Kruskal;48;47;2.93875
Kruskal;49;48;2.96176
Kruskal;4;3;0.01628
Kruskal;50;49;3.10829
Kruskal;51;50;3.12421
Kruskal;52;51;3.32731
Kruskal;53;52;3.38206
Kruskal;54;53;3.51477
Kruskal;55;54;3.66793
Kruskal;56;55;3.85625
Kruskal;57;56;4.06384
Kruskal;58;57;3.97488
Kruskal;59;58;4.43068
Kruskal;5;4;0.02585
Kruskal;60;59;4.36033
Kruskal;61;60;4.52835
Kruskal;62;61;4.67346
Kruskal;63;62;5.05755
Kruskal;64;63;4.92694
Kruskal;65;64;5.1727
Kruskal;66;65;5.34596
Kruskal;67;66;5.4174
Kruskal;68;67;5.94216
Kruskal;69;68;5.99476
Kruskal;6;5;0.03692
Kruskal;70;69;6.08857
Kruskal;71;70;6.29333
Kruskal;72;71;6.37857
Kruskal;73;72;6.59948
Kruskal;74;73;6.79084
Kruskal;75;74;7.06882
Kruskal;76;75;7.14103
Kruskal;77;76;7.20853
Kruskal;78;77;7.66415
Kruskal;79;78;7.42217
Kruskal;7;6;0.05502
Kruskal;80;79;7.91017
Kruskal;81;80;8.04036
Kruskal;82;81;8.41475
Kruskal;83;82;8.80135
Kruskal;84;83;8.88321
Kruskal;85;84;8.83081
Kruskal;86;85;9.12861
Kruskal;87;86;9.59055
Kruskal;88;87;10.1381
Kruskal;89;88;10.149
Kruskal;8;7;0.06678
Kruskal;90;89;10.0531
Kruskal;9;8;0.08818
